"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 04- 06","96.23","101.24","104.02","95.73","366.04K","-5.62%"
"2022- 04- 05","101.96","103.66","105.59","99.88","280.28K","-1.28%"
"2022- 04- 04","103.28","98.95","103.94","98.05","288.13K","4.04%"
"2022- 04- 01","99.27","101.23","101.75","97.78","324.78K","-1.01%"
"2022- 03- 31","100.28","107.45","107.80","99.66","450.85K","-6.99%"
"2022- 03- 30","107.82","105.24","108.75","104.55","284.54K","3.43%"
"2022- 03- 29","104.24","103.47","107.84","98.44","387.20K","-1.62%"
"2022- 03- 28","105.96","112.92","112.93","102.83","372.25K","-6.97%"
"2022- 03- 25","113.90","111.75","114.12","108.68","320.30K","1.39%"
"2022- 03- 24","112.34","114.47","116.64","110.61","307.24K","-2.25%"
"2022- 03- 23","114.93","108.85","115.40","108.38","289.18K","2.84%"
"2022- 03- 22","111.76","112.90","115.01","109.30","22.94K","-0.32%"
"2022- 03- 21","112.12","105.13","112.69","104.08","77.22K","7.09%"
"2022- 03- 18","104.70","103.62","106.28","102.30","74.25K","1.67%"
"2022- 03- 17","102.98","95.34","104.24","94.85","210.76K","8.35%"
"2022- 03- 16","95.04","95.23","99.22","94.07","293.95K","-1.45%"
"2022- 03- 15","96.44","102.28","102.58","93.53","401.69K","-6.38%"
"2022- 03- 14","103.01","109.42","109.72","99.76","344.18K","-5.78%"
"2022- 03- 11","109.33","105.99","110.29","104.48","368.19K","3.12%"
"2022- 03- 10","106.02","110.41","114.88","105.53","437.92K","-2.47%"
"2022- 03- 09","108.70","124.66","126.84","103.63","594.77K","-12.13%"
"2022- 03- 08","123.70","120.67","129.44","117.07","583.11K","3.60%"
"2022- 03- 07","119.40","121.33","130.50","115.54","576.02K","3.22%"
"2022- 03- 04","115.68","107.96","116.02","107.25","493.88K","7.44%"
"2022- 03- 03","107.67","111.33","116.57","106.43","592.03K","-2.65%"
"2022- 03- 02","110.60","107.12","112.51","105.18","651.85K","6.95%"
"2022- 03- 01","103.41","96.09","106.78","95.32","698.81K","8.03%"
"2022- 02- 28","95.72","94.99","99.10","94.43","490.80K","4.51%"
"2022- 02- 25","91.59","93.32","95.64","90.06","523.79K","-1.31%"
